turn_type,road_type,environment_type,visibility,effective_pedestrians,effective_traffic,daynight,weather,SafeSpeedLimit
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Night,Clear,100.38272500000006
Straight,Medium,Highway,High,Low,High,Night,Clear,100.38272500000006
Straight,Medium,Highway,High,Low,High,Night,Clear,100.38272500000006
Straight,Medium,Highway,High,Low,High,Night,Clear,100.38272500000006
Straight,Medium,Highway,High,Low,High,Night,Clear,100.38272500000006
Straight,Medium,Highway,High,Low,High,Night,Clear,100.38272500000006
Straight,Medium,Highway,High,Low,High,Night,Clear,100.38272500000006
Straight,Medium,Highway,High,Low,High,Night,Clear,100.38272500000006
Straight,Narrow,Highway,High,Low,High,Night,Clear,180.62375584859575
Straight,Narrow,Highway,High,Low,High,Night,Clear,180.62375584859575
Straight,Narrow,Highway,High,Low,High,Night,Clear,180.62375584859575
Straight,Narrow,Highway,High,Low,High,Night,Clear,180.62375584859575
Straight,Narrow,Highway,High,Low,High,Night,Clear,180.62375584859575
Straight,Narrow,Highway,High,Low,High,Night,Clear,180.62375584859575
Straight,Narrow,Highway,High,Low,High,Night,Clear,180.62375584859575
Straight,Narrow,Highway,High,Low,High,Night,Clear,180.62375584859575
Straight,Narrow,Highway,High,Low,High,Night,Clear,180.62375584859575
Straight,Narrow,Highway,High,Low,High,Night,Clear,180.62375584859575
Straight,Narrow,Highway,High,Low,High,Night,Clear,180.62375584859575
Straight,Narrow,Highway,High,Low,High,Night,Clear,180.62375584859575
Straight,Narrow,Highway,High,Low,High,Night,Clear,180.62375584859575
Straight,Narrow,Highway,High,Low,High,Night,Clear,180.62375584859575
Straight,Narrow,Highway,High,Low,High,Night,Clear,180.62375584859575
Straight,Narrow,Highway,High,Low,High,Night,Clear,180.62375584859575
Straight,Narrow,Highway,High,Low,High,Night,Clear,180.62375584859575
Straight,Medium,Highway,High,Low,High,Night,Clear,100.38272500000006
Straight,Medium,Highway,High,Low,High,Night,Clear,100.38272500000006
Straight,Medium,Highway,High,Low,High,Night,Clear,100.38272500000006
Straight,Medium,Highway,High,Low,High,Night,Clear,100.38272500000006
Straight,Medium,Highway,High,Low,High,Night,Clear,100.38272500000006
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
